"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
58760,,"Réel","4- Poteau en bois","296594.176","5034338.255",17,4006596
58762,20091217000000,"Réel","1- Tige et base","296592.563",5034345,17,4006596
58764,,"Réel","3- Fût","296590.225","5034367.098",17,1600291
58821,19990923000000,"Réel","4- Poteau en bois","296580.905","5034360.657",17,4006595
60118,,"Réel","1- Tige et base","296514.03",5034634,17,4008811
60119,19990927000000,"Réel","3- Fût","296522.88",5034638,17,4010490
62185,19990110000000,"Réel","1- Tige et base","297026.133","5033061.582",17,1624201
85414,,"Réel","3- Fût","296584.212","5034392.31",17,1600291
87747,20000507000000,"Réel","1- Tige et base","295731.328","5035154.354",17,4008968
87761,20000607000000,"Réel","4- Poteau en bois","295750.019","5035153.544",17,4008968
87762,20000607000000,"Réel","4- Poteau en bois","295781.61","5035175.296",17,4008970
87763,20000607000000,"Réel","4- Poteau en bois","295797.281","5035185.087",17,4008970
87764,20000607000000,"Réel","4- Poteau en bois","295813.935","5035195.568",17,4008970
87765,20000607000000,"Réel","4- Poteau en bois","295836.535","5035209.189",17,4008971
87766,20000607000000,"Réel","4- Poteau en bois","295862.633","5035225.751",17,4008971
87767,20000607000000,"Réel","4- Poteau en bois","295879.031","5035236.642",17,4008971
87768,20000607000000,"Réel","4- Poteau en bois","295908.089","5035255.414",17,4008971
87769,20000607000000,"Réel","4- Poteau en bois","295943.136","5035272.635",17,4008971
87771,20000607000000,"Réel","4- Poteau en bois","295771.959","5035179.746",17,4008970
87772,20000607000000,"Réel","9- Autres","295769.311","5035178.066",17,4008968
87773,20000607000000,"Réel","9- Autres","295822.488","5035211.569",17,4008970
87774,20000607000000,"Réel","1- Tige et base","295854.954","5035232.141",17,4008971
87775,20000607000000,"Réel","4- Poteau en bois","295861.717","5035235.642",17,4008971
87776,20000607000000,"Réel","9- Autres","295869.636","5035241.802",17,4008971
87777,20000607000000,"Réel","1- Tige et base","295874.766","5035244.703",17,4008971
87778,20000607000000,"Réel","9- Autres","295935.383","5035285.936",17,4008971
144765,,"Réel","3- Fût","296553.174","5034522.913",17,1600291
144766,,"Réel","3- Fût","296486.44",5034588,17,1340589
151766,20030423000000,"Réel","3- Fût","296543.127","5034563.877",17,1340589
151767,20030423000000,"Réel","3- Fût","296562.206","5034485.909",17,1600291
151768,20030423000000,"Réel","4- Poteau en bois","296560.127","5034494.19",17,1600291
151769,20030423000000,"Réel","4- Poteau en bois","296567.468","5034466.177",17,1600291
151770,20030423000000,"Réel","4- Poteau en bois","296576.913","5034423.903",17,1600291
151773,20030423000000,"Réel","4- Poteau en bois","296585.359","5034388.67",17,1600291
151774,20030423000000,"Réel","4- Poteau en bois","296589.475","5034371.058",17,1600291
152383,20030626000000,"Réel","3- Fût","296570.413","5034452.246",17,1600291
155788,20091217000000,"Réel","1- Tige et base","296590.813",5034347,17,4006595
160532,20060606000000,"Réel","1- Tige et base","296517.75",5034640,17,4010490
160652,20130123000000,"Réel","3- Fût","296535.25",5034598,17,4010490
221026,20120620000000,"Réel","1- Tige et base","296596.309","5034322.097",17,4006596
58761,20040604000000,"Enlevé","1- Tige et base","296584.575","5034344.546",17,4006595
151765,20030423000000,"Enlevé","1- Tige et base",296517,"5034638.5",17,4008811
